image_name,class_id
1.jpg,0
2.jpg,0
3.jpg,0
4.jpg,0
5.jpg,0
6.jpg,0
7.jpg,0
8.jpg,0
9.jpg,0
10.jpg,0
11.jpg,0
12.jpg,1
13.jpg,0
14.jpg,1
15.jpg,1
16.jpg,1
17.jpg,1
18.jpg,1
19.jpg,0
20.jpg,0
21.jpg,0
22.jpg,0
23.jpg,0
24.jpg,0
25.jpg,1
26.jpg,1
27.jpg,1
28.jpg,1
29.jpg,1
30.jpg,1
31.jpg,0
32.jpg,0
33.jpg,0
34.jpg,0
35.jpg,0
36.jpg,0
37.jpg,0
38.jpg,0
39.jpg,0
40.jpg,0
41.jpg,0
42.jpg,0
43.jpg,0
44.jpg,0
45.jpg,0
46.jpg,0
47.jpg,0
48.jpg,0
49.jpg,0
50.jpg,1
51.jpg,1
52.jpg,1
53.jpg,1
54.jpg,1
55.jpg,1
56.jpg,0
57.jpg,0
58.jpg,0
59.jpg,0
60.jpg,0
61.jpg,0
62.jpg,0
63.jpg,0
64.jpg,0
65.jpg,0
66.jpg,0
67.jpg,0
68.jpg,0
69.jpg,0
70.jpg,0
71.jpg,0
72.jpg,0
73.jpg,0
74.jpg,0
75.jpg,0
76.jpg,0
77.jpg,0
78.jpg,0
79.jpg,0
80.jpg,0
81.jpg,0
82.jpg,0
83.jpg,0
84.jpg,0
85.jpg,1
86.jpg,1
87.jpg,1
88.jpg,0
89.jpg,0
90.jpg,0
91.jpg,0
92.jpg,0
93.jpg,0
94.jpg,0
95.jpg,0
96.jpg,0
97.jpg,0
98.jpg,0
99.jpg,0
100.jpg,0
101.jpg,0
102.jpg,0
103.jpg,0
104.jpg,0
105.jpg,0
106.jpg,0
107.jpg,0
108.jpg,0
109.jpg,0
110.jpg,0
111.jpg,0
112.jpg,0
113.jpg,0
114.jpg,0
115.jpg,0
116.jpg,0
117.jpg,0
118.jpg,1
119.jpg,1
120.jpg,1
121.jpg,1
122.jpg,1
123.jpg,1
124.jpg,0
125.jpg,0
126.jpg,0
127.jpg,1
128.jpg,1
129.jpg,1
130.jpg,1
131.jpg,1
132.jpg,1
133.jpg,1
134.jpg,1
135.jpg,1
136.jpg,1
137.jpg,0
138.jpg,0
139.jpg,0
140.jpg,0
141.jpg,0
142.jpg,0
143.jpg,0
144.jpg,0
145.jpg,0
146.jpg,0
147.jpg,0
148.jpg,0
149.jpg,1
150.jpg,1
151.jpg,1
152.jpg,0
153.jpg,0
154.jpg,0
155.jpg,1
156.jpg,1
157.jpg,1
158.jpg,0
159.jpg,0
160.jpg,0
161.jpg,0
162.jpg,0
163.jpg,0
164.jpg,1
165.jpg,1
166.jpg,1
167.jpg,1
168.jpg,1
169.jpg,1
170.jpg,1
171.jpg,1
172.jpg,1
173.jpg,1
174.jpg,1
175.jpg,1
176.jpg,1
177.jpg,1
178.jpg,1
179.jpg,1
180.jpg,1
181.jpg,1
182.jpg,1
183.jpg,0
184.jpg,1
185.jpg,1
186.jpg,1
187.jpg,1
188.jpg,1
189.jpg,1
190.jpg,1
191.jpg,1
192.jpg,1
193.jpg,1
194.jpg,1
195.jpg,1
196.jpg,1
197.jpg,1
198.jpg,1
199.jpg,1
200.jpg,1
201.jpg,1
202.jpg,1
203.jpg,1
204.jpg,1
205.jpg,1
206.jpg,1
207.jpg,0
208.jpg,0
209.jpg,0
210.jpg,0
211.jpg,0
212.jpg,0
213.jpg,0
214.jpg,0
215.jpg,0
216.jpg,0
217.jpg,0
218.jpg,0
219.jpg,0
220.jpg,0
221.jpg,0
222.jpg,0
223.jpg,0
224.jpg,0
225.jpg,0
226.jpg,0
227.jpg,0
228.jpg,0
229.jpg,0
230.jpg,0
231.jpg,1
232.jpg,1
233.jpg,1
234.jpg,1
235.jpg,1
236.jpg,1
237.jpg,1
238.jpg,1
239.jpg,1
240.jpg,1
241.jpg,1
242.jpg,1
243.jpg,1
244.jpg,1
245.jpg,0
246.jpg,0
247.jpg,0
248.jpg,0
249.jpg,0
250.jpg,0
251.jpg,0
252.jpg,0
253.jpg,0
254.jpg,0
255.jpg,0
256.jpg,0
257.jpg,0
258.jpg,1
259.jpg,1
260.jpg,1
261.jpg,1
262.jpg,0
263.jpg,0
264.jpg,0
265.jpg,1
266.jpg,1
267.jpg,1
268.jpg,1
269.jpg,0
270.jpg,0
271.jpg,0
272.jpg,1
273.jpg,1
274.jpg,1
275.jpg,1
276.jpg,0
277.jpg,0
278.jpg,0
279.jpg,0
280.jpg,0
281.jpg,0
282.jpg,0
283.jpg,0
284.jpg,0
285.jpg,0
286.jpg,0
287.jpg,0
288.jpg,0
289.jpg,0
290.jpg,0
291.jpg,0
292.jpg,0
293.jpg,0
294.jpg,0
295.jpg,0
296.jpg,0
297.jpg,0
298.jpg,0
299.jpg,0
300.jpg,0
301.jpg,0
302.jpg,0
303.jpg,0
304.jpg,0
305.jpg,0
306.jpg,0
307.jpg,0
308.jpg,0
309.jpg,0
310.jpg,0
311.jpg,0
312.jpg,0
313.jpg,0
314.jpg,0
315.jpg,0
316.jpg,0
317.jpg,0
318.jpg,0
319.jpg,0
320.jpg,0
321.jpg,0
322.jpg,0
323.jpg,0
324.jpg,0
325.jpg,0
326.jpg,0
327.jpg,0
328.jpg,0
329.jpg,0
330.jpg,0
331.jpg,0
332.jpg,0
333.jpg,0
334.jpg,0
335.jpg,0
336.jpg,0
337.jpg,0
338.jpg,0
339.jpg,0
340.jpg,0
341.jpg,0
342.jpg,0
343.jpg,0
344.jpg,0
345.jpg,0
346.jpg,0
347.jpg,0
348.jpg,0
349.jpg,0
350.jpg,0
351.jpg,0
352.jpg,0
353.jpg,0
354.jpg,0
355.jpg,1
356.jpg,1
357.jpg,1
358.jpg,1
359.jpg,1
360.jpg,1
361.jpg,1
362.jpg,1
363.jpg,1
364.jpg,1
365.jpg,1
366.jpg,1
367.jpg,1
368.jpg,1
369.jpg,1
370.jpg,1
371.jpg,0
372.jpg,1
373.jpg,0
374.jpg,1
375.jpg,1
376.jpg,1
377.jpg,1
378.jpg,1
379.jpg,1
380.jpg,1
381.jpg,0
382.jpg,0
383.jpg,0
384.jpg,0
385.jpg,0
386.jpg,0
387.jpg,0
388.jpg,0
389.jpg,0
390.jpg,0
391.jpg,0
392.jpg,0
393.jpg,0
394.jpg,0
395.jpg,0
396.jpg,0
397.jpg,0
398.jpg,0
399.jpg,0
400.jpg,0
401.jpg,0
402.jpg,1
403.jpg,1
404.jpg,1
405.jpg,1
406.jpg,1
407.jpg,1
