file,width,height,class,xmin,ymin,xmax,ymax
1.jpg,1920,1080,0,0,0,0,0
2.jpg,1920,1080,0,0,0,0,0
3.jpg,1920,1080,0,0,0,0,0
4.jpg,1920,1080,0,0,0,0,0
5.jpg,1920,1080,0,0,0,0,0
6.jpg,1920,1080,0,0,0,0,0
7.jpg,1920,1080,0,0,0,0,0
8.jpg,1920,1080,0,0,0,0,0
9.jpg,1920,1080,0,0,0,0,0
10.jpg,1920,1080,0,0,0,0,0
11.jpg,1920,1080,0,0,0,0,0
12.jpg,1920,1080,1,753,725,1028,830
13.jpg,1920,1080,0,0,0,0,0
14.jpg,1920,1080,1,136,732,222,832
15.jpg,1920,1080,1,24,352,232,673
16.jpg,1920,1080,1,223,417,362,564
17.jpg,1920,1080,1,539,385,929,536
18.jpg,1920,1080,1,1178,361,1517,565
19.jpg,1920,1080,0,0,0,0,0
20.jpg,1920,1080,0,0,0,0,0
21.jpg,1920,1080,0,0,0,0,0
22.jpg,1920,1080,0,0,0,0,0
23.jpg,1920,1080,0,0,0,0,0
24.jpg,1920,1080,0,0,0,0,0
25.jpg,1920,1080,1,736,352,772,406
26.jpg,1920,1080,1,1021,359,1177,477
27.jpg,1920,1080,1,1090,423,1427,602
28.jpg,1920,1080,1,688,266,783,345
29.jpg,1920,1080,1,726,455,942,616
30.jpg,1920,1080,1,289,689,434,832
31.jpg,1920,1080,0,0,0,0,0
32.jpg,1920,1080,0,0,0,0,0
33.jpg,1920,1080,0,0,0,0,0
34.jpg,1920,1080,0,0,0,0,0
35.jpg,1920,1080,0,0,0,0,0
36.jpg,1920,1080,0,0,0,0,0
37.jpg,1920,1080,0,0,0,0,0
38.jpg,1920,1080,0,0,0,0,0
39.jpg,1920,1080,0,0,0,0,0
40.jpg,1920,1080,0,0,0,0,0
41.jpg,1920,1080,0,0,0,0,0
42.jpg,1920,1080,0,0,0,0,0
43.jpg,1920,1080,0,0,0,0,0
44.jpg,1920,1080,0,0,0,0,0
45.jpg,1920,1080,0,0,0,0,0
46.jpg,1920,1080,0,0,0,0,0
47.jpg,1920,1080,0,0,0,0,0
48.jpg,1920,1080,0,0,0,0,0
49.jpg,1920,1080,0,0,0,0,0
