,0,1,2,3,4,5,6,7,8,9,y
0,0.14273524,0.07892257,-0.7011424,0.19814289,0.6063263,0.5226898,0.0033359528,-0.24991529,-0.78314745,-1.1566943,1
1,0.16083816,-0.06202478,0.85093546,0.22372307,0.36979154,0.72174,0.49222162,-0.124521375,1.3598409,0.1803956,0
2,0.21334915,-0.044943072,-0.64204484,0.24163818,0.41619724,0.1848316,-0.10201956,-0.33471268,-0.8563568,-1.21006,1
3,0.1357882,-0.21431178,1.2835331,0.53394604,0.49769607,0.6273868,0.61510444,0.12932637,1.7047843,0.63328373,0
4,-0.12732512,-0.51424706,1.5055969,0.65972185,0.31146985,0.5554637,0.6640266,0.34219718,1.9227283,0.53301823,0
5,0.4392604,0.40500656,-1.9959347,-0.11973579,0.55529785,-0.64301777,-0.15357655,-0.89703715,-2.1220117,-1.8687053,1
6,0.37046647,0.24125493,-1.2827477,0.23175055,0.3137523,-0.18401392,-0.17421603,-0.76324224,-1.3145065,-1.5656252,1
7,-0.24636492,-0.31338656,1.7609422,0.3175356,0.01618956,0.96606636,0.68488646,0.29855555,2.0083723,0.70746696,0
8,0.1945299,-0.38055062,2.0148335,0.61714077,0.42032602,0.8113849,1.1031535,0.38172507,2.8612142,1.1348326,0
9,0.099053755,-0.24535865,0.7151264,0.4097506,0.24988134,0.0054668635,0.5090903,0.3792442,1.3217123,-0.03490807,0
10,0.7260114,0.10981719,-0.6697415,0.09861767,0.66971797,0.18719229,-0.08449805,-0.3593055,-1.036681,-1.040852,0
11,0.23003073,0.4778708,-0.69398046,0.039991766,0.43219763,-0.33384705,-0.39301515,-0.543032,-1.2568755,-1.2987123,1
12,0.24736464,-0.20391066,0.89775276,0.45908147,0.53276384,0.3885281,0.7350482,0.15199572,1.5532153,0.3043737,0
13,0.59900343,0.6892773,-3.5061333,-0.29592407,0.5024681,-0.76955897,-0.8363911,-1.4308934,-4.0203786,-2.6184406,1
14,-0.060532592,-0.1368486,0.21274659,0.612619,0.41166565,0.56259286,-0.09658798,0.02787444,0.35202745,-0.77662086,0
15,0.29696447,-0.20133133,1.6632345,0.7449894,0.4660554,0.6154237,0.5177428,-0.044262916,1.467806,0.49988118,0
16,-0.10038571,-0.0961741,0.93040705,0.4439536,0.26834938,0.2546982,0.6388618,0.15199673,1.7652301,0.4679176,0
17,0.14760329,-0.5642539,1.7123312,0.65639025,0.36024922,1.0674554,0.81389,0.2262572,2.4261007,0.812989,0
18,0.18831597,0.5098861,-0.8495718,0.05484076,0.43425074,-0.32608503,-0.34688225,-0.47043234,-1.3221622,-1.3162861,1
19,0.47006187,0.3043828,-1.7759308,-0.015006974,0.30802652,-0.4565922,-0.43150097,-0.97169024,-2.3419445,-1.9738283,1
20,0.1613762,-0.06012618,-0.092434764,0.47369617,0.41805917,0.4711421,-0.24142799,-0.2589475,-0.22051668,-1.0107394,0
21,0.0036490336,-0.032002743,0.85386884,0.41818613,0.15072417,0.31979406,0.4755093,0.14684296,1.0981381,0.013115447,0
22,0.16698012,-0.28887624,0.4219192,0.9772385,0.11383562,0.72933334,0.4597376,-0.2815569,0.62927026,-0.16225372,0
23,0.098943025,-0.43393686,1.2361987,0.41426772,0.32937062,0.95783997,0.5108637,0.13314769,1.2344271,0.25516924,1
24,0.32622203,0.2874571,-0.8056245,0.16501819,0.39672655,-0.26880074,-0.33895028,-0.35574168,-1.0349169,-1.102097,1
25,0.16263983,-0.10832235,1.1651065,0.80333805,0.60339856,0.73828125,0.6588785,-0.024355933,1.3055452,-0.07680938,0
26,0.44872153,-0.372105,-0.1751754,0.4205593,0.36516672,0.60352194,0.17788666,-0.2616732,0.3221181,-0.40334475,0
27,0.09921205,-0.025869235,0.06456055,0.5720874,0.2691956,0.43418968,0.11776387,-0.30627567,0.15986863,-0.63972133,0
28,0.40910825,0.4313726,-1.1989077,0.04109462,0.431532,-0.4990298,-0.33127546,-0.6162975,-1.8033437,-1.3469737,1
29,0.033300653,-0.5614918,1.1409651,0.8885816,0.29994738,0.8513218,0.32184032,0.111939386,1.2232351,-0.2764964,1
30,0.21346483,-0.06102225,0.16944243,0.56183,0.7666415,0.74463975,-0.020758003,-0.32495174,0.10479128,-0.45483416,1
31,0.356659,0.057824805,-0.32625866,0.4473191,0.38650885,0.35635456,0.053423584,-0.35963914,-0.28655794,-1.0067039,1
32,0.27279365,-0.30241427,0.33797935,0.3831115,0.47722784,0.51414424,0.41922417,-0.32702452,0.34338665,-0.73556244,0
33,0.43918753,0.4841025,-2.889289,-0.545592,0.54924226,-0.796757,-0.7991825,-1.1265893,-3.3828192,-2.2506232,1
34,0.3296551,0.1771994,-0.9046848,0.35538357,0.35478115,-0.2848277,0.08256253,-0.45472497,-0.8419316,-1.0823307,1
35,0.36063528,0.2148165,-1.3605361,0.37473345,-0.006945446,-0.12072645,-0.25332522,-0.60397094,-1.4289694,-1.2955513,1
36,0.14866272,0.17719564,-0.103153646,0.616247,0.26409793,0.37037376,0.013879351,-0.41151932,-0.27699703,-0.9311893,1
37,0.026660733,0.1826067,0.23485218,0.68976957,0.37248406,0.54904395,0.26975876,0.009076595,0.55242884,-0.41781253,0
38,0.09662408,-0.18977194,0.7088851,0.1686182,0.79579556,0.45668602,0.36620986,-0.007946223,1.0128171,-0.06944892,0
39,0.3071067,0.28821874,-1.1980493,0.013800904,0.5038724,-0.113579854,-0.36324114,-0.58514285,-1.7586772,-1.3961205,1
40,0.37174162,0.42442876,-0.5842691,0.19064936,0.44010782,-0.067336105,0.2884987,-0.20583089,-0.051682606,-0.56224734,1
41,0.022231925,0.1435675,0.5088158,0.6088081,0.52005446,0.05205691,0.4472617,-0.14235726,0.74732345,-0.3745177,1
42,-0.01783526,-0.1278492,1.095901,0.78924847,-0.012228876,0.5854003,0.4482515,-0.1511204,1.4154577,0.1885027,0
43,0.09212417,-0.6633454,2.532969,1.1959605,0.16500533,1.6057838,0.77632457,0.35096622,3.3117452,1.2403361,0
44,0.23347501,-0.013939006,0.7348871,0.19801103,0.27386495,0.4113922,0.46880388,0.0029300451,0.9431668,-0.024744898,0
45,-0.11588362,-0.21430987,0.8235642,0.6985673,0.3201459,0.7555221,0.089738905,0.06452803,0.8106227,-0.3813929,0
46,0.08568402,-0.21319655,0.9683466,0.64956963,0.2621847,0.5001875,0.28131574,-0.038042605,1.758919,0.4035197,0
47,0.045988686,-0.5543774,1.6727372,0.48942196,0.37223327,0.9694638,0.8020379,0.15551747,2.155447,0.8848753,0
48,0.044695582,0.009487104,-0.4375578,0.50945127,0.30439517,0.29152817,-0.08901522,-0.43383372,-0.601399,-1.1611394,1
49,-0.1420554,-0.23140419,0.85867465,0.6850584,0.3416376,0.71490335,0.1308441,0.07366325,0.7904526,-0.4506669,0
50,-0.18219215,-0.4070605,1.1511405,0.67934537,0.3518672,0.61507976,0.6612506,0.19457458,1.5910968,0.41217983,0
51,0.14020869,-0.17618468,0.47244206,0.792942,0.33622676,0.77844733,0.3057366,-0.13067341,0.8076147,-0.39940864,1
52,0.2201429,-0.09232732,0.24687687,0.2386239,0.39413574,0.2697603,0.3845697,-0.10710019,0.049161673,-0.38956422,0
53,0.04947518,0.13729255,0.059123755,0.18471026,0.32546365,-0.056357995,0.41329974,-0.11990292,0.32421765,-0.6861868,0
