file,width,height,class,xmin,ymin,xmax,ymax
1.jpg,1280,720,0,0,0,0,0
2.jpg,1280,720,0,0,0,0,0
3.jpg,1280,720,0,0,0,0,0
4.jpg,1280,720,0,0,0,0,0
5.jpg,1280,720,0,0,0,0,0
6.jpg,1280,720,0,0,0,0,0
7.jpg,1280,720,0,0,0,0,0
8.jpg,1280,720,0,0,0,0,0
9.jpg,1280,720,0,0,0,0,0
10.jpg,1280,720,0,0,0,0,0
11.jpg,1280,720,0,0,0,0,0
12.jpg,1280,720,0,0,0,0,0
13.jpg,1280,720,0,0,0,0,0
14.jpg,1280,720,0,0,0,0,0
15.jpg,1280,720,0,0,0,0,0
16.jpg,1280,720,0,0,0,0,0
17.jpg,1280,720,0,0,0,0,0
18.jpg,1280,720,0,0,0,0,0
19.jpg,1280,720,0,0,0,0,0
20.jpg,1280,720,0,0,0,0,0
21.jpg,1280,720,0,0,0,0,0
22.jpg,1280,720,0,0,0,0,0
23.jpg,1280,720,0,0,0,0,0
24.jpg,1280,720,0,0,0,0,0
25.jpg,1280,720,0,0,0,0,0
26.jpg,1280,720,0,0,0,0,0
27.jpg,1280,720,0,0,0,0,0
28.jpg,1280,720,0,0,0,0,0
29.jpg,1280,720,0,0,0,0,0
30.jpg,1280,720,0,0,0,0,0
31.jpg,1280,720,0,0,0,0,0
32.jpg,1280,720,0,0,0,0,0
33.jpg,1280,720,0,0,0,0,0
34.jpg,1280,720,0,0,0,0,0
35.jpg,1280,720,0,0,0,0,0
36.jpg,1280,720,0,0,0,0,0
37.jpg,1280,720,0,0,0,0,0
38.jpg,1280,720,0,0,0,0,0
39.jpg,1280,720,0,0,0,0,0
40.jpg,1280,720,0,0,0,0,0
41.jpg,1280,720,0,0,0,0,0
42.jpg,1280,720,0,0,0,0,0
43.jpg,1280,720,0,0,0,0,0
44.jpg,1280,720,0,0,0,0,0
45.jpg,1280,720,0,0,0,0,0
46.jpg,1280,720,0,0,0,0,0
47.jpg,1280,720,0,0,0,0,0
48.jpg,1280,720,0,0,0,0,0
49.jpg,1280,720,0,0,0,0,0
50.jpg,1280,720,0,0,0,0,0
51.jpg,1280,720,1,1202,236,1415,396
52.jpg,1280,720,1,1013,217,1073,325
53.jpg,1280,720,1,859,196,918,284
54.jpg,1280,720,1,668,188,829,300
55.jpg,1280,720,1,570,229,709,339
56.jpg,1280,720,1,492,269,598,425
57.jpg,1280,720,1,365,307,466,493
58.jpg,1280,720,0,0,0,0,0
59.jpg,1280,720,1,110,351,205,752
60.jpg,1280,720,0,0,0,0,0
61.jpg,1280,720,0,0,0,0,0
62.jpg,1280,720,0,0,0,0,0
63.jpg,1280,720,0,0,0,0,0
64.jpg,1280,720,0,0,0,0,0
65.jpg,1280,720,0,0,0,0,0
66.jpg,1280,720,0,0,0,0,0
67.jpg,1280,720,0,0,0,0,0
68.jpg,1280,720,0,0,0,0,0
69.jpg,1280,720,0,0,0,0,0
70.jpg,1280,720,0,0,0,0,0
71.jpg,1280,720,1,974,376,1337,767
72.jpg,1280,720,1,1116,449,1527,808
73.jpg,1280,720,0,0,0,0,0
74.jpg,1280,720,0,0,0,0,0
75.jpg,1280,720,1,755,302,859,402
76.jpg,1280,720,1,981,222,1075,297
77.jpg,1280,720,1,845,360,929,427
78.jpg,1280,720,1,1009,577,1109,749
79.jpg,1280,720,0,0,0,0,0
80.jpg,1280,720,0,0,0,0,0
81.jpg,1280,720,1,679,332,989,443
82.jpg,1280,720,1,528,370,857,475
83.jpg,1280,720,1,610,382,767,511
84.jpg,1280,720,1,508,372,925,463
85.jpg,1280,720,1,567,478,908,681
86.jpg,1280,720,1,522,611,1202,730
87.jpg,1280,720,1,717,557,1286,771
88.jpg,1280,720,1,673,496,1191,624
89.jpg,1280,720,1,690,458,1142,506
90.jpg,1280,720,1,687,376,1111,571
91.jpg,1280,720,1,728,332,1094,589
92.jpg,1280,720,1,738,272,851,651
93.jpg,1280,720,1,748,285,1152,701
94.jpg,1280,720,1,624,577,1220,832
95.jpg,1280,720,1,1021,481,1333,833
96.jpg,1280,720,0,0,0,0,0
97.jpg,1280,720,0,0,0,0,0
98.jpg,1280,720,1,424,618,768,832
99.jpg,1280,720,0,0,0,0,0
100.jpg,1280,720,0,0,0,0,0
101.jpg,1280,720,0,0,0,0,0
102.jpg,1280,720,0,0,0,0,0
103.jpg,1280,720,0,0,0,0,0
104.jpg,1280,720,0,0,0,0,0
105.jpg,1280,720,0,0,0,0,0
106.jpg,1280,720,0,0,0,0,0
107.jpg,1280,720,0,0,0,0,0
108.jpg,1280,720,0,0,0,0,0
109.jpg,1280,720,0,0,0,0,0
110.jpg,1280,720,0,0,0,0,0
111.jpg,1280,720,0,0,0,0,0
112.jpg,1280,720,0,0,0,0,0
113.jpg,1280,720,1,842,505,899,631
114.jpg,1280,720,1,832,299,874,361
115.jpg,1280,720,1,656,275,737,379
116.jpg,1280,720,1,800,257,862,349
117.jpg,1280,720,1,955,265,1015,360
118.jpg,1280,720,1,936,259,1010,314
119.jpg,1280,720,1,822,305,870,373
120.jpg,1280,720,1,834,374,894,473
121.jpg,1280,720,1,708,341,829,445
